model,backend,precision,batch_size,latency_ms,throughput_img_s,memory_mb
ResNet18,cpu,fp32,1,7.5932,131.7,0.0
ResNet18,cpu,fp32,4,19.9177,200.83,0.0
ResNet18,cpu,fp32,8,39.1986,204.09,0.0
ResNet18,cpu,fp32,16,393.7367,40.64,0.0
ResNet18,cpu,fp32,32,671.2293,47.67,0.0
ResNet18,cpu,fp32,64,1201.7531,53.26,0.0
ResNet18,mps,fp32,1,2.6442,378.18,0.0
ResNet18,mps,fp32,4,4.0807,980.23,0.0
ResNet18,mps,fp32,8,7.0631,1132.64,0.0
ResNet18,mps,fp32,16,12.8448,1245.64,0.0
ResNet18,mps,fp32,32,25.1848,1270.61,0.0
ResNet18,mps,fp32,64,50.1167,1277.02,0.0
ResNet18,mps,fp16,1,2.6286,380.42,0.0
ResNet18,mps,fp16,4,3.5625,1122.8,0.0
ResNet18,mps,fp16,8,6.0611,1319.89,0.0
ResNet18,mps,fp16,16,10.9985,1454.74,0.0
ResNet18,mps,fp16,32,20.1104,1591.22,0.0
ResNet18,mps,fp16,64,39.1661,1634.07,0.0
MobileNetV3,cpu,fp32,1,101.5247,9.85,0.0
MobileNetV3,cpu,fp32,4,199.4554,20.05,0.0
MobileNetV3,cpu,fp32,8,181.5978,44.05,0.0
MobileNetV3,cpu,fp32,16,322.2764,49.65,0.0
MobileNetV3,cpu,fp32,32,444.9008,71.93,0.0
MobileNetV3,cpu,fp32,64,709.0086,90.27,0.0
MobileNetV3,mps,fp32,1,3.878,257.87,0.0
MobileNetV3,mps,fp32,4,3.7162,1076.36,0.0
MobileNetV3,mps,fp32,8,3.7598,2127.74,0.0
MobileNetV3,mps,fp32,16,3.8109,4198.49,0.0
MobileNetV3,mps,fp32,32,6.696,4778.96,0.0
MobileNetV3,mps,fp32,64,12.7904,5003.75,0.0
MobileNetV3,mps,fp16,1,3.8108,262.41,0.0
MobileNetV3,mps,fp16,4,3.8031,1051.77,0.0
MobileNetV3,mps,fp16,8,3.6518,2190.71,0.0
MobileNetV3,mps,fp16,16,3.7685,4245.73,0.0
MobileNetV3,mps,fp16,32,5.6714,5642.31,0.0
MobileNetV3,mps,fp16,64,9.9664,6421.55,0.0
