model,backend,precision,batch_size,latency_ms,throughput_img_s,memory_mb
ResNet18,cpu,fp32,1,39.7814,25.14,0.0
ResNet18,cpu,fp32,4,100.9973,39.61,0.0
ResNet18,cpu,fp32,8,190.7216,41.95,0.0
ResNet18,cpu,fp32,16,473.5491,33.79,0.0
ResNet18,cpu,fp32,32,615.6785,51.98,0.0
ResNet18,cpu,fp32,64,1400.1506,45.71,0.0
ResNet18,cuda,fp32,1,5.6576,176.75,63.09
ResNet18,cuda,fp32,4,12.8514,311.25,79.61
ResNet18,cuda,fp32,8,15.3476,521.25,106.41
ResNet18,cuda,fp32,16,30.8867,518.02,162.0
ResNet18,cuda,fp32,32,45.7841,698.93,267.19
ResNet18,cuda,fp32,64,86.1513,742.88,481.57
ResNet18,cuda,fp16,1,5.7851,172.86,36.46
ResNet18,cuda,fp16,4,5.4984,727.49,46.71
ResNet18,cuda,fp16,8,8.7265,916.74,60.51
ResNet18,cuda,fp16,16,15.2462,1049.44,90.18
ResNet18,cuda,fp16,32,27.5772,1160.38,151.65
ResNet18,cuda,fp16,64,50.8923,1257.56,269.36
MobileNetV3,cpu,fp32,1,16.3591,61.13,0.0
MobileNetV3,cpu,fp32,4,29.1016,137.45,0.0
MobileNetV3,cpu,fp32,8,51.515,155.29,0.0
MobileNetV3,cpu,fp32,16,116.7311,137.07,0.0
MobileNetV3,cpu,fp32,32,203.3183,157.39,0.0
MobileNetV3,cpu,fp32,64,436.337,146.68,0.0
MobileNetV3,cuda,fp32,1,7.5307,132.79,21.04
MobileNetV3,cuda,fp32,4,7.9335,504.19,28.51
MobileNetV3,cuda,fp32,8,10.2841,777.9,38.96
MobileNetV3,cuda,fp32,16,9.1252,1753.38,58.81
MobileNetV3,cuda,fp32,32,12.1657,2630.34,99.06
MobileNetV3,cuda,fp32,64,25.6098,2499.05,179.56
MobileNetV3,cuda,fp16,1,12.5853,79.46,15.29
MobileNetV3,cuda,fp16,4,12.4302,321.8,20.01
MobileNetV3,cuda,fp16,8,10.7336,745.33,24.47
MobileNetV3,cuda,fp16,16,9.1761,1743.66,33.9
MobileNetV3,cuda,fp16,32,11.0069,2907.26,54.24
MobileNetV3,cuda,fp16,64,16.8007,3809.37,94.49
